`CASE IDENTIFICATION NUMBER',telephne,city,county,ethcode,centract,HIGH PERCENTAGE BLACK TRACT,SAMPLING FRAME,`PARTICIPATE IN 1984 ELECTION',REGISTRATION STATUS IN 1984,PARTY REGISTRATION STATUS OF INDIVI,`CONTRIBUTE $$ TO POLITICAL UNIT IN 84',`EXHIBIT STICKER OR POSTER IN 84',`POLI WORK ON CAMPAIGN 84',`ATTENDED POLITICAL RALLY 84',MICHIGAN PARTYID,`CMCATE OPINION TO ELECTED OFFICIALS',`CMCATE OPINION TO NEWSMEDIA',`WORKED WITH GROUP AGAINST PROBLEM',COMMUNITY ORGANIZATION PROBLEM,TYPE OF COMM. ORG. PROBLEM,RELIGIOUS AFFILIATION,EVANGELICAL PROTESTANTS,PROTESTANT DENOMINATION,`LEVEL OF EDUCATION COMPLETED',`MARITAL STATUS',`HAVE CHILDREN',`NUMBER OF CHILDREN',`NUMBER OF CHILDREN IN SCHOOL',`WILL CHILDREN GO TO COLLEGE',`MOST IMP SOURCE OF INCOME',`IMP INCOME-EARNER''S RELSHIP TO RESP',`RESPONDENT''S EMPLOYMENT STATUS IN 84',`RESPONDENT''S OCCUPATION',`RESPONDENT UNEMPLOYED IN 84',`RESPONDENT''S UNION MEMBERSHIP',`RELATIVE''S EMPLOYMENT STATUS IN 84',`RELATIVE''S OCCUPATION',`RELATIVE UNEMPLOYED IN 84',`RELATIVE''S UNION MEMBERSHIP',HEAD OF HOUSEHOLD EMPLOYMENT STATUS,HEAD OF HOUSEHOLD OCCUPATION,HEAD OF HOUSEHOLD UNEMPLOYED IN 84,HEAD OF HOUSEHOLD'S UNION MEMBERSHIP,`RACIAL GROUP -- RGROUP1',natnlity,ETHNIC IDENTIFICATION,ASIAN-AMERICAN GROUPS,HISPANIC GROUP ID,`BIGGEST PROBLEM OF USA',`SPECIAL PROBLEMS OF RGROUP1',`BIGGEST PROBLEM OF RGROUP1',`GOVT REQD TO SOLVE PROBLEM OF RGRP1',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP1',`IF OTHER GRP TO SOLVE PROBLEM OF RGRP1',`ANY OTHER GROUP OF ID OR RGROUP2',`OTHER GROUP OF ID OR RGROUP2',`BIGGEST PROBLEM OF RGROUP2',`GOVT REQD TO SOLVE PROBLEM OF RGRP2',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP2',`IF OTHR GRP TO SOLVE PROBLEM OF RGRP2',`GROUPS WITH FEWER OPPORTUNITIES',`GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES' 2,`OTHER GROUP WITH FEWER OPPORTUNITIES' 3,`GROUPS WITH MORE OPPORTUNITIES',`GROUP WITH MORE OPPORTUNITIES',`OTHER GROUP WITH MORE OPPORTUNITIES',`GROUPS WITH MORE OPPORTUNITIES' 2,`GROUPS WITH MORE OPPORTUNITIES' 3,`AMERICANS PREJUDICED TO RGROUP1',`PARTICULAR GROUP PREJUDICED TO RGROUP1',`PERSONAL EXPERIENCE OF DISCRIMINATION',`SITUATION OF DISCRIMINATION',`FUTURE AMOUNT OF PREJUDICE',`INCREASED MILITARY SPENDING',`EQUAL RIGHTS AMENDMENT',`TAX CREDIT FOR PAROCHIAL-PVT SCHOOL',`PRAYER IN PUBLIC SCHOOL',`INCREASED SPENDING ON WELFARE',`BAN FED SPENDING ON ABORTIONS',`BAN HANDGUNS',`DEATH PENALTY FOR MURDER',`AMNESTY FOR ILLEGAL IMMIGRATION',`USE OF EMPLOYER SANCTIONS',`BILINGUAL EDUCATION PROGRAMS',`BILINGUAL BALLOTS',`VIEWS ON ABORTION',`RESPONDENT''S COUNTRY OF BIRTH',`IF PARENTS BORN IN US',`COUNTRY OF FATHER''S BIRTH',`COUNTRY OF MOTHER''S BIRTH',`SOCIAL LINKS WITH COUNTRY OF ORIGIN',`MONEY SENT HOME TO CTRY OF ORIGIN',`INTENTION TO SETTLE IN US',yentry,`IF US CITIZEN YET',`STATE IN US WHERE RESPONDENT WAS BORN',`GENERATION ENTERING CALIFORNIA',`SOCIAL LINKS WITH STATE:ORIGIN IN US',`PRIMARY NON-ENGLISH LANGUAGE',`USED BALLOT OF OTHER LANGUAGE IN 1984',yyrborn,`HOME OWNER OR RENTER',`INCOME LEVEL',`PRESIDENTIAL VOTE CHOICE 84',`IMPORTANCE OF VOTING',`SEX OF RESPONDENT',`CO-OPERATION OF RESPONDENT',`INFORMATION LEVEL OF RESPONDENT',`SINCERITY OF RESPONDENT',IMMIGRANT GENERATION,NON-ENG PRIMARY LANG OR SPAN INTERVIEW,`SPANISH LANGUAGE INTERVIEWS',`PRIMARY LANG: NON-ENGLISH OR SPANISH'
1,415992,85,81,H,601602,0,HISPANIC SURNAME,YES,REGISTERED,OTHER,NO,NO,NO,NO,STRONG REPUBLICAN,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,UNION,WORKING,CRAFTSMEN,NO,UNION,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,FGN AFFAIRS:GEN,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,FAVOR,NO OPINION,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,NO OPINION,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,NO,MEXICO,LATIN/C AMERICA,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,65,OWN,"$10,000-15,000",REAGAN,IMP IF INTEREST AFF,MALE,GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
2,213602,68,37,H,5540,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,LEANING REPUBLICAN,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,SINGLE,YES,1 CHILD,1 CHILD,WILL GO,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,UNION,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,UNION,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,EDUCATION,YES,EDUCATION,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,LESS PREJUDICED,NO OPINION,FAVOR,NO OPINION,OPPOSE,FAVOR,NO OPINION,OPPOSE,OPPOSE,NO OPINION,NO OPINION,FAVOR,FAVOR,ONLY IF RAPE/INCEST,MEXICO,INAP,INAP,INAP,NO,NO,WILL STAY IN U.S.,64,CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,60,RENT/DO NOT OWN,"$10,000-15,000",INAP,IMPORTANT,FEMALE,VERY GOOD,FAIRLY LOW,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
3,415668,85,75,N,154,0,OTHER,YES,REGISTERED,INDEPENDENT,NO,NO,YES,NO,WEAK DEMOCRAT,NEVER,NEVER,YES,HALT CONSTRUCTION,MISCELLANEOUS,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,SOME COLLEGE,WIDOWED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,WHITE,NO ETHNIC/NAT ID,NOT ASCERTAINED,INAP,NON-HISPANIC,THREAT/NUCLEAR WAR,YES,THREAT/NUCLEAR WAR,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,WOMEN,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,OPPOSE,FAVOR,NO OPINION,NO OPINION,NO OPINION,OPPOSE,NO OPINION,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,OH,INAP,NO,INAP,INAP,32,RENT/DO NOT OWN,"$15,000-20,000",OTHER,IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
4,213566,56,37,N,2428,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,METHODIST,0-8 YEARS,MARRIED,YES,3 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,UNION,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,UNION,BLACK,BLACK,BLACK,INAP,NON-HISPANIC,UNEMPLOYMENT,DK/NA,INAP,INAP,INAP,INAP,YES,DK/NA,DK/NA,DK/NA,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,DK/NA,INAP,INAP,INAP,INAP,MOST ARE,INAP,NO,INAP,LESS PREJUDICED,NO OPINION,FAVOR,NO OPINION,FAVOR,FAVOR,DK/NA,FAVOR,DK/NA,NO OPINION,OPPOSE,OPPOSE,DK/NA,SHD NEVER BE PERMTD,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,LA,INAP,YES,INAP,INAP,14,OWN,"LESS THAN $10,000",MONDALE,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
5,415562,65,1,H,4322,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,INDEPENDENT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,DIVORCED,YES,3 CHILDREN,NO CHILDREN,INAP,SOMEONE ELSE,PARENTS,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,DK/NA,WORKING,CRAFTSMEN,NO,DK/NA,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,YES,RACE/ETH DISCRIMINA,NO GOVT ACTION REQD,INAP,INDIVIDUALS,NO,INAP,INAP,INAP,INAP,INAP,YES,MEXI-AMS/HISPANICS,DK/NA,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,SOME ARE,WHITES,NO,INAP,WON'T CHANGE MUCH,NO OPINION,NO OPINION,NO OPINION,NO OPINION,OPPOSE,OPPOSE,OPPOSE,NO OPINION,OPPOSE,NO OPINION,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,DK/NA,INAP,INAP,INAP,NO,NO,DK/NA,72,CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,63,OWN,"$15,000-20,000",INAP,NOT IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,DK/NA,YES,ENG LANG INTERVIEWS,YES
6,619697,80,73,N,3107,HIGH PERCENTAGE BLACK,OTHER,NO,REGISTERED,REPUBLICAN,NO,NO,NO,NO,LEANING REPUBLICAN,SELDOM,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,OTHER PROTESTANT,SOME COLLEGE,DIVORCED,YES,2 CHILDREN,1 CHILD,WILL GO,RESPONDENT,INAP,WORKING,SERVICE WORKER,NO,NO,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,NO,WHITE,99,NOT ASCERTAINED,INAP,NON-HISPANIC,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,FAVOR,NO OPINION,NO OPINION,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,NO OPINION,NO OPINION,NO OPINION,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,MO,INAP,YES,INAP,INAP,54,RENT/DO NOT OWN,"$10,000-15,000",INAP,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
7,415786,49,1,H,4373,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,LEANING DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,SOMEONE ELSE,WIFE,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,UNION,WORKING,PROF/TECHNICAL,NO,UNION,ASIAN,FILIPINO,ASIAN-AMERICAN,FILIPINO,NON-HISPANIC,HIGH TAXES,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,FAVOR,FAVOR,NO OPINION,FAVOR,NO OPINION,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,PILIPPINES,INAP,INAP,INAP,YES,NO,WILL STAY IN U.S.,79,CITIZEN,ZZ,INAP,DK/NA,TAGALOG,INAP,50,RENT/DO NOT OWN,"$20,000-25,000",INAP,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
8,415793,49,1,H,4443,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,YES,NO,NO,LEANING DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,BROTHER,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,WORKING,LABORER,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,SOME ARE,DK/NA,NO,INAP,WON'T CHANGE MUCH,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,NO,MEXICO,U.S.,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,SPANISH,INAP,65,OWN,"$25,000-30,000",INAP,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
9,408394,81,53,N,139,0,OTHER,YES,REGISTERED,REPUBLICAN,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,SELDOM,YES,AID TO DISABLED,"POVERTY, WELFARE",CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,MANAGERIAL,NO,UNION,INAP,INAP,INAP,INAP,WORKING,MANAGERIAL,NO,UNION,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,HIGH COST OF LIVING,YES,EDUCATION,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MAYBE/DEPENDS,DK/NA,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,YES,SOCIAL SITUATION,WON'T CHANGE MUCH,FAVOR,NO OPINION,OPPOSE,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,56,RENT/DO NOT OWN,"$15,000-20,000",REAGAN,IMPORTANT,MALE,VERY GOOD,AVERAGE,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
10,213938,56,37,N,2162,HIGH PERCENTAGE BLACK,OTHER,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,OTHER,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,COMPLETED COLLEGE,WIDOWED,YES,5 CHILDREN,5 CHILDREN,WILL GO,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,OTHER,IRISH,WHITE,INAP,NON-HISPANIC,HIGH COST OF LIVING,YES,DK/NA,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,INAP,INAP,INAP,INAP,INAP,FAVOR,FAVOR,NO OPINION,OPPOSE,OPPOSE,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,OR,INAP,YES,DK/NA,INAP,10,OWN,"$20,000-25,000",REAGAN,IMPORTANT,MALE,VERY GOOD,AVERAGE,PERHAPS INSINCERE,US-BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
