    14159928581H6016020111422227232 0 013 04120902 20000152115211 3301112 00002 0 00003 0 0 0 03 0 0 0 02422 022121722111723 12 2140001000CA10 00 65122212312212
    22136026837H  55400122022225332 0 013 02111111 01721000017216 3301201202402 0 00003 0 0 0 03 0 0 0 03 02 037172172277112 20 0 0222 641ZZ08 10 60220321411111
    34156688575N   1540411322122331741132174420901 0112300001123198604 11 12402 0 00001 3 298 03 0 0 0 08 08 082177727111223 11 0 00001000OH02 00 32233321113212
    42135665637N  24281411122221332 0 032 51213001 05001000050012 1204310 000019898800198 0 0 00 0 0 0 01 02 037171101072201 11 0 00001000LA01 00 14111311313212
    541556265 1H  43220122022224332 0 013 03313002 10000152815201 3301 01231032 0 000012698 0 01 498 0 02 42 027777222727222 00 0 0228 721ZZ08 10 63130121310111
    66196978073N  31071421222225232 0 032164312111 0172300001723199604 02 00002 0 00003 0 0 0 03 0 0 0 08 08 081771172177712 11 0 00001000MO01 00 54220311313212
    741578649 1H  43730122022223332 0 013 03211002 50000112111213 4414292 00002 0 00003 0 0 0 03 0 0 0 03 02 022117171222222 30 0 0122 791ZZ08150 50240311311111
    841579349 1H  44430122021223332 0 013 02120902 60000182318236 3301312 00002 0 00001 398 0 0198 0 0 02982 021172122121113 12 2 10001000CA10 10 65150311312111
    94083948153N   139041122222232158 713 04120901 01221000012211 3301271202402 0 00003 0 0 0 0298 0 0 02421 421722112122113 11 0 00001000CA30 00 56232311323212
   102139385637N  21621411122228332 0 013 06415511 0500300005003615104271988002 0 0000198 0 0 0198 0 0 00 00 001172222122222 11 0 00001000OR01980 10142311333111
   116194778073H   1170122022225332 0 013 02120902170000152315231 3301322 00002 0 00003 0 0 0 01 398 0 02982 021177112722112 12 1 20001000CA10 00 61140212412212
   124153868575J   154021122222623137 853 07312001 01123000011233 6434372 00002 0 00003 0 0 0 03 0 0 0 03 02 022711721121223 11 0 00001000CA30 00 38168321213212
   134083758153N   1330411122221332 0 013 03212112 4000013131313125104291372302 0 00003 0 0 0 03 0 0 0 00 00 002221711177112 1213130001000CA20 00 56121221312212
   142136816637N  4604141112222322115 132 54312001 03003000030032 1204361 62402 0 000014498 0 0198 0 0 03 02 022111112172223 11 0 00001000GE01 00 10111321313212
   157076445895N2517011422022223212 0 013 03120902 2000015231523625104 12 00002 0 00003 0 0 0 03 0 0 0 00 00 002121112112113 11 0 00001000CA10 00 66220312313212
   162133496737H1152010111822220332 0 013 03212001 0500300005003125104442 00002 0 00003 0 0 0 03 0 0 0 00 00 002172111272122 1213130001000MI01 00 19128321212212
   172138996737H1041021121122220332 0 013 02111002 30000200320036 3301422 00002 0 0000198 3 498198 0 0 02422 027777722711122 12 2 20001000CA20 10 62210321512111
   184155848581A  60050211122222331 11073 06214001 01123000011233 5424 00 00002 0 00003 0 0 0 00 0 0 0 03 01 180012002121222 40 0 0222 371ZZ08 00100152312211010
   194154394913N3131020411122222132 0 031 63216001 0500100005001114104362 00002 0 00003 0 0 0 0198 0 0 00 00 002122122121123 11 0 00001000IA01 00 23121321213212
